波长(nm),大气消光系数(cm⁻¹)
3625.0,4.848312844746802e-06
3626.0,4.848101489697507e-06
3627.0,4.847890487107253e-06
3628.0,4.847679263050486e-06
3629.0,4.847468397384944e-06
3630.0,4.969128310548334e-06
3631.0,4.9689152726644934e-06
3632.0,4.968702561900856e-06
3633.0,4.968489986042503e-06
3634.0,4.968277023796639e-06
3635.0,4.968064774406209e-06
3636.0,4.967772337341024e-06
3637.0,5.044319289518022e-06
3638.0,5.044104695843404e-06
3639.0,5.04388996470814e-06
3640.0,5.043675689031562e-06
3641.0,5.043461093978132e-06
3642.0,5.043247005939419e-06
3643.0,5.025022681075756e-06
3644.0,5.024812174675704e-06
3645.0,5.024601616826852e-06
3646.0,5.024391267377978e-06
3647.0,5.0241808740006505e-06
3648.0,5.023970304893074e-06
3649.0,5.02371400305115e-06
3650.0,4.960388166460011e-06
3651.0,4.960186123153961e-06
3652.0,4.959984068456083e-06
3653.0,4.959782188917297e-06
3654.0,4.959579962671129e-06
3655.0,4.959377919662394e-06
3656.0,4.959176243179194e-06
3657.0,4.765342372817763e-06
3658.0,4.76514964548533e-06
3659.0,4.764957649017818e-06
3660.0,4.764765707670731e-06
3661.0,4.764573850652702e-06
3662.0,4.764437196180844e-06
3663.0,4.764245572015938e-06
3664.0,4.530914744170113e-06
3665.0,4.530731107279801e-06
3666.0,4.53054841425221e-06
3667.0,4.530365315114396e-06
3668.0,4.530182233305078e-06
3669.0,4.529999357926852e-06
3670.0,4.451009791869321e-06
3671.0,4.450831053154359e-06
3672.0,4.450652505503022e-06
3673.0,4.450473938251734e-06
3674.0,4.4502953983588176e-06
3675.0,4.450117013912687e-06
3676.0,4.449954964531239e-06
3677.0,4.559050747775379e-06
3678.0,4.558869097045734e-06
3679.0,4.558687390727945e-06
3680.0,4.558505801249448e-06
3681.0,4.558324449881148e-06
3682.0,4.558142811691564e-06
3683.0,4.557961178420994e-06
3684.0,4.749979259281523e-06
3685.0,4.749791661280733e-06
3686.0,4.749604191382148e-06
3687.0,4.7494166471974855e-06
3688.0,4.7492292539100474e-06
3689.0,4.749019072212415e-06
3690.0,4.748831798748383e-06
3691.0,5.001525834434289e-06
3692.0,5.001331369203511e-06
3693.0,5.001137028016082e-06
3694.0,5.0009429854766875e-06
